,id,price,address,type,bed,bath,area
138,listing_1375404,"$849,000",401 East 89th Street #12G,Condop,1 bed,1 bath,
139,listing_1375388,"$2,925,000",201 West 89th Street #7A,Co-op,3 beds,2 baths,"1,800 ft??"
140,listing_1375387,"$2,750,000",111 East 30th Street #1C,Condo,2 beds,2.5 baths,"1,575 ft??"
141,listing_1375384,"$1,695,000",70 Charlton Street #18D,Condop,1 bed,1 bath,831 ft??
142,listing_1375383,"$4,775,000",70 Charlton Street #17E,Condop,4 beds,4.5 baths,"2,252 ft??"
143,listing_1348351_featured,"$3,690,000",374 Broome Street #4B,Condo,2 beds,2 baths,"1,970 ft??"
144,listing_1376693_featured,"$7,335,000",49 Chambers Street #9EF,Condo,4 beds,5 baths,
145,listing_1375382,"$3,215,000",70 Charlton Street #9D,Condop,3 beds,3 baths,"1,631 ft??"
146,listing_1375381,"$1,995,000",50 Franklin Street #12B,Condo,2 beds,2 baths,"1,024 ft??"
147,listing_1375380,"$675,000",123 West 80th Street #2R,Co-op,1 bed,1 bath,525 ft??
148,listing_1375378,"$29,250,000",111 West 57th Street #49,Condo,3 beds,3.5 baths,"4,491 ft??"
149,listing_1375376,"$1,900,000",301 W 57th Street #25A,Condo,1 bed,1 bath,789 ft??
150,listing_1375375,"$1,400,000",117 West 123rd Street #4A,Condo,2 beds,2 baths,"1,234 ft??"
151,listing_1375373,"$540,000",47 Ft Washington Avenue #67,Co-op,3 beds,2 baths,
152,listing_1375372,"$1,250,000",200 Rector Place #4Y,Condo,2 beds,2 baths,"1,054 ft??"
153,listing_1375356,"$1,395,000",55 W 95th Street #75,Co-op,2 beds,1 bath,
154,listing_1375354,"$705,000",53 West 11th Street #2E,Co-op,1 bed,1 bath,
155,listing_1375353,"$2,600,000",430 West 23rd Street #PHE,Co-op,2 beds,2 baths,
156,listing_1363661_featured,"$5,825,000",269 West 87th Street #15A,Condop,3 beds,3.5 baths,"2,356 ft??"
157,listing_1358808_featured,"$849,000",340 East 74th Street #6E,Co-op,2 beds,1 bath,
158,listing_1375351,"$11,750,000",140 East 65th Street ,Townhouse,5 beds,6 baths,"6,950 ft??"
159,listing_1375352,"$1,295,000",61 West 62nd Street #22D,Co-op,1 bed,1.5 baths,
160,listing_1375348,"$699,000",144 East 84th Street #7G,Co-op,1 bed,1 bath,
161,listing_1375347,"$850,000",333 East 45th Street #12B,Condo,1 bed,1 bath,
162,listing_1375344,"$4,500,000",190 East 72nd Street #34CD,Co-op,5 beds,6 baths,
163,listing_1375332,"$1,950,000",23 West 73 #607A,Co-op,3 beds,2 baths,
164,listing_1375331,"$6,995,000",12 West 72 PENTHOUSE-B,Co-op,4 beds,4 baths,
165,listing_1375330,"$1,195,000",45 East End Avenue #5H,Co-op,2 beds,2 baths,"1,100 ft??"
166,listing_1375326,"$500,000",88 Bleecker Street #6B,Co-op,,1 bath,
167,listing_1375325,"$3,495,000",88 Lexington #702,Condo,2 beds,2.5 baths,"1,873 ft??"
168,listing_1375321,"$7,250,000",304 West 18th Street ,Townhouse,2 beds,5 baths,"3,363 ft??"
169,listing_1349258_featured,"$1,895,000",124 West 93rd Street #4B,Condo,2 beds,2 baths,
170,listing_1363813_featured,"$3,600,000",35 East 76th Street #1909,Co-op,2 beds,3 baths,
171,listing_1375315,"$1,260,000",10 West End Avenue #5G,Condo,1 bed,1 bath,829 ft??
172,listing_1375311,"$1,050,000",420 East 64th Street #E7H,Condop,1 bed,1 bath,930 ft??
173,listing_1375306,"$425,000",65 Park Terrace East #C58,Co-op,1 bed,1 bath,800 ft??
174,listing_1375303,"$1,450,000",18 W 48th Street #14A,Condo,1 bed,1.5 baths,848 ft??
175,listing_1375301,"$4,900,000",1001 Park Avenue #1N/2N,Co-op,4 beds,4.5 baths,
176,listing_1375297,"$2,250,000",45 East 22nd Street #18B,Condo,1 bed,1 bath,"1,087 ft??"
177,listing_1375295,"$12,950,000",40 Sullivan Street ,Townhouse,4 beds,7 baths,"6,709 ft??"
178,listing_1375296,"$399,000",301 East 63rd Street #14H,Co-op,1 bed,1 bath,
179,listing_1375293,"$3,150,000",27 Leonard Street #5,Condo,1 bed,2 baths,"1,650 ft??"
180,listing_1375294,"$1,150,000",70 East 10th Street #5G,Co-op,1 bed,1 bath,
181,listing_1375291,"$2,995,000",100 Norfolk Street #3C,Condo,2 beds,2.5 baths,"1,298 ft??"
182,listing_1365629_featured,"$15,750,000",200 East 59th Street #PH32,Condo,3 beds,4.5 baths,"3,924 ft??"
183,listing_1375194_featured,"$1,895,000",252 South Street #9H,Condo,2 beds,2 baths,"1,156 ft??"
184,listing_1375292,"$949,000",250 West 16th Street #3C,Co-op,1 bed,1 bath,800 ft??
185,listing_1375290,"$4,200,000",196 Orchard Street #10D,Condo,3 beds,3 baths,"1,555 ft??"
186,listing_1375286,"$635,000",234 West 148th Street #4E,Condo,1 bed,1 bath,750 ft??
187,listing_1375284,"$765,000",308 E 38th Street #6F,Condo,1 bed,1 bath,645 ft??
188,listing_1375283,"$749,000",157 East 72nd Street #8J,Condo,1 bed,1 bath,650 ft??
189,listing_1375280,"$399,000",249 East 7th Street #1,Co-op,,1 bath,
190,listing_1375279,"$20,000,000",895 Park Avenue #89B,Co-op,6 beds,7.5 baths,
191,listing_1375278,"$779,000",121 East 23rd Street #8G,Condo,,1 bath,
192,listing_1375275,"$1,225,000",11 East 29th Street #7B,Condo,1 bed,1 bath,767 ft??
193,listing_1375276,"$1,165,000",77 Park Avenue #7G,Condo,1 bed,1.5 baths,800 ft??
194,listing_1375266,"$8,550,000",1 Central Park West #32D,Condo,3 beds,3.5 baths,"2,165 ft??"
195,listing_1378271_featured,"$3,695,000",1441 Third Avenue #PH,Condo,3 beds,2.5 baths,
196,listing_1302303_featured,"$995,000",385 First Avenue #2F,Condo,1 bed,1 bath,720 ft??
197,listing_1375264,"$399,000",408 East 73rd Street #5C,Co-op,1 bed,1 bath,
198,listing_1375263,"$2,295,000",470 West 24th Street #18A,Co-op,2 beds,2 baths,
199,listing_1375262,"$3,825,000",200 East 89th Street 10128 #44/45S,Condo,2 beds,2.5 baths,"1,600 ft??"
200,listing_1375261,"$450,000",354 West 12th Street #1C,Co-op,,1 bath,
201,listing_1375259,"$1,680,000",200 Rector Place #36M,Condo,1 bed,2 baths,"1,150 ft??"
202,listing_1375258,"$1,450,000",175 East 62nd Street #5A,Co-op,3 beds,2.5 baths,"2,000 ft??"
203,listing_1375242,"$799,000",300 East 71st Street #11L,Co-op,1 bed,1 bath,
204,listing_1375238,"$1,495,000",161 West 16th Street #16G,Co-op,1 bed,1 bath,
205,listing_1375237,"$4,699,000",350 East 82nd Street #PHCD,Condo,4 beds,4 baths,"2,758 ft??"
206,listing_1375236,"$3,400,000",1025 Fifth Avenue #8F/N,Co-op,3 beds,3.5 baths,
207,listing_1375235,"$399,000",301 East 64th Street #12J,Co-op,,1 bath,
208,listing_1378386_featured,"$1,695,000",515 East 72nd Street #4P,Condo,2 beds,2 baths,"1,027 ft??"
