,price,address,type,area
547,1904.4585987261146,9640000,2,785
548,2912.524850894632,721 Fifth Avenue #34G,2,1509
549,2172.80163599182,271201600,3,978
550,1182.8947368421052,225 Rector Place #4T,2,760
551,2055.8823529411766,11067200,2,1700
552,2046.768260641093,11067200,2,1903
553,1846.0329929300865,686670400,2,1273
554,1792.1146953405018,686670400,2,1116
555,1707.116412998766,54 MacDougal Street MAISONETTE,2,2431
556,1366.120218579235,220 Riverside Boulevard #7W,2,549
557,1358.0517770952172,59 John Street #PH10C,2,2279
558,1780.55822906641,257281600,2,1039
559,1456.25,77 Park Avenue #7G,2,800
560,937.5,10638400,1,1600
561,887.7777777777778,9070400,1,900
562,410.4903078677309,137-139 West 142nd Street #2E,1,877
563,1847.3895582329317,37 Murray Street #3B,2,1245
564,1496.875,189440000,2,1600
565,1672.247802427794,1212 Fifth Avenue #4A,2,2389
566,999.8823529411765,142 E 16th Street #18D,1,850
567,2362.327909887359,377 Rector Place #PHAB,2,6392
568,1510.1522842639595,137 Riverside Drive #3B,1,3940
569,2342.7672955974845,377 Rector Place #PHB,2,3180
570,2381.6936488169363,377 Rector Place #PHA,2,3212
571,1467.551622418879,257281600,2,678
572,2872.5626740947077,57 Irving Place #4,2,2872
573,1282.981530343008,200326400,1,1516
574,1362.2974963181148,576640000,2,679
575,3423.848878394333,165 Charles Street #11,2,2541
576,2043.8683948155533,72040000,2,1003
577,2720.9186220669,25 Central Park West #16M,2,2003
578,1986.9831546707503,105889600,2,1306
579,758.4541062801933,158766400,1,1035
580,1519.1387559808613,1 Wall Street Court #1407,2,418
581,2155.1246537396123,2109 Broadway #7144,2,1805
582,1818.1818181818182,9857600,2,1100
583,1774.1617357001971,34894400,2,1014
584,2300.0,185600000,4,5000
585,2018.8425302826379,200 West End Avenue #19A,2,1486
586,1546.6666666666667,3400000,2,750
587,2059.308072487644,6169600,2,1214
588,1694.1624365482232,200 West End Avenue #9B,2,788
589,2109.6214511041007,16518400,2,2536
590,2200.88161209068,150 W 56th #6101,2,1588
591,2448.2758620689656,53800000,2,5800
592,2073.997233748271,63 Greene Street #2E,2,1446
593,1620.9476309226932,123 Washington Street #47A,2,802
594,1348.2632541133455,30241600,2,1094
595,1425.7659073055775,15 William Street #41I,2,1273
596,1075.0,790 Riverside Drive #11RS,1,2000
597,1064.9905123339659,92326400,2,2108
598,2980.0,515 Park Avenue #12AB,2,5000
599,1466.824644549763,324057600,2,422
600,1154.5454545454545,425 Central Park West #5E,2,550
601,1233.5526315789473,29824000,2,912
602,1125.0,171 Henry Street #4D,2,1075
603,1075.0,171 Henry Street #2C,2,907
604,1150.0,171 Henry Street #4A,2,690
605,1250.0,171 Henry Street #2B,2,684
606,2164.4736842105262,685 First Avenue #31C,2,760
607,937.4982142857143,5 Tudor City Place #704,1,560
608,4388.852315119596,160 Leroy Street NORTH12B,2,4557
609,1998.3333333333333,580 West End Avenue #4,1,3000
610,744.888023369036,2134 Second Avenue #6B,2,1027
611,1920.1213346814964,131758400,2,989
612,2907.4074074074074,2211 Broadway #4G,2,1890
613,2484.076433121019,152225600,2,1570
614,1375.0,929 Park Avenue #10B,1,1000
615,1684.3971631205675,49 Chambers Street #7D,2,2256
616,1795.8412098298677,71840000,2,1058
617,1192.857142857143,77600000,2,700
618,999.999,1270 Fifth Avenue #9L,1,1000
619,1409.73630831643,74240000,2,493
620,1707.1320182094082,20872000,2,1318
621,916.6666666666666,100025600,1,1200
622,1649.229074889868,34024000,2,1816
623,2682.5168107588856,18080000,2,2082
624,3236.957888120679,225 Fifth Avenue #9M,2,1591
625,1554.726368159204,388980800,2,402
626,1449.7422680412371,255 Hudson Street #3F,2,776
627,1847.8260869565217,3822400,1,2300
628,1091.917591125198,103385600,2,631
